ENSEMBL	T2	GC3	Conections	AveExp	Stages	class	entrezgene_id	hgnc_symbol	description								L	H1	H2+H3	
ENSG00000131626	24.10640067	51.12219451	26	33.87117692	Stage II	H1	8500	PPFIA1	PTPRF interacting protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:9245]											
ENSG00000070718	33.65155131	52.2673031	1	30.34831474	Stage II	H1	10947	AP3M2	adaptor related protein complex 3 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:570]											
ENSG00000124356	27.52941176	52.70588235	39	29.24852564	Stage II	H1	10617	STAMBP	STAM binding protein [Source:HGNC Symbol;Acc:HGNC:16950]											
ENSG00000116106	26.64640324	55.11651469	12	16.44459487	Stage II	H1	2043	EPHA4	EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]											
ENSG00000143387	23.93939394	55.45454545	1	40.58895833	Stage II	H1	1513	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]											
ENSG00000096384	27.17241379	58.06896552	546	2047.699952	Stage II	H1	3326	HSP90AB1	heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]											
ENSG00000139154	18.33976834	59.26640927	28	31.30119936	Stage II	H1	121536	AEBP2	AE binding protein 2 [Source:HGNC Symbol;Acc:HGNC:24051]											
ENSG00000102900	29.87804878	60.48780488	43	23.56641026	Stage II	H1	9688	NUP93	nucleoporin 93 [Source:HGNC Symbol;Acc:HGNC:28958]											
ENSG00000070814	11.95433177	61.58495635	23	25.03984038	Stage II	H1	6949	TCOF1	treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654]											
ENSG00000108883	30.62692703	62.48715313	60	56.43003462	Stage II	H1	9343	EFTUD2	elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]											
ENSG00000136271	30.47445255	63.86861314	44	77.99753782	Stage II	H1	54606	DDX56	DEAD-box helicase 56 [Source:HGNC Symbol;Acc:HGNC:18193]											
ENSG00000148843	29.54059829	64.0491453	16	33.80622179	Stage II	H1	22984	PDCD11	programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408]											
ENSG00000239779	18.88888889	64.07407407	4	9.793696795	Stage II	H1	23559	WBP1	WW domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12737]											
ENSG00000005100	28.95480226	64.83050847	8	22.28393974	Stage II	H1	56919	DHX33	DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]											
ENSG00000115275	26.37231504	65.63245823	14	112.7273897	Stage II	H1	7841	MOGS	mannosyl-oligosaccharide glucosidase [Source:HGNC Symbol;Acc:HGNC:24862]											
ENSG00000119599	26.00806452	66.12903226	6	11.41375128	Stage II	H1	26094	DCAF4	DDB1 and CUL4 associated factor 4 [Source:HGNC Symbol;Acc:HGNC:20229]											
ENSG00000085733	16.33393829	67.15063521	59	199.709566	Stage II	H1	2017	CTTN	cortactin [Source:HGNC Symbol;Acc:HGNC:3338]											
ENSG00000088247	15.73033708	67.55617978	32	186.5737827	Stage II	H1	8570	KHSRP	KH-type splicing regulatory protein [Source:HGNC Symbol;Acc:HGNC:6316]											
ENSG00000179833	23.49206349	67.93650794	18	53.37599808	Stage II	H1	9792	SERTAD2	SERTA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30784]											
ENSG00000092445	28.39506173	68.12570146	15	9.016717308	Stage II	H1	7301	TYRO3	TYRO3 protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12446]											
ENSG00000108469	20.86693548	68.34677419	29	14.84558974	Stage II	H1	9400	RECQL5	RecQ like helicase 5 [Source:HGNC Symbol;Acc:HGNC:9950]											
ENSG00000144057	25.8490566	68.67924528	3	3.033582692	Stage II	H1	84620	ST6GAL2	"ST6 beta-galactoside alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10861]"											
ENSG00000171425	18.68686869	70.2020202	84	44.46993013	Stage II	H2+H3	51545	ZNF581	zinc finger protein 581 [Source:HGNC Symbol;Acc:HGNC:25017]											
ENSG00000106123	25.12413108	70.40714995	19	21.28617051	Stage II	H2+H3	2051	EPHB6	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]											
ENSG00000100426	25.68259386	70.7337884	11	23.92031154	Stage II	H2+H3	9889	ZBED4	zinc finger BED-type containing 4 [Source:HGNC Symbol;Acc:HGNC:20721]											
ENSG00000104635	34.27991886	71.80527383	6	45.42929423	Stage II	H2+H3	23516	SLC39A14	solute carrier family 39 member 14 [Source:HGNC Symbol;Acc:HGNC:20858]											
ENSG00000179134	23.30935252	72.23021583	9	77.38362115	Stage II	H2+H3	55095	SAMD4B	sterile alpha motif domain containing 4B [Source:HGNC Symbol;Acc:HGNC:25492]											
ENSG00000128594	29.35779817	72.78287462	3	39.0525391	Stage II	H2+H3	64101	LRRC4	leucine rich repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:15586]											
ENSG00000101346	28.27763496	73.00771208	3	61.35654679	Stage II	H2+H3	23509	POFUT1	protein O-fucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:14988]											
ENSG00000143811	31.46417445	73.20872274	14	53.57734423	Stage II	H2+H3	29920	PYCR2	pyrroline-5-carboxylate reductase 2 [Source:HGNC Symbol;Acc:HGNC:30262]											
ENSG00000126368	23.41463415	73.65853659	8	41.55455064	Stage II	H2+H3	9572	NR1D1	nuclear receptor subfamily 1 group D member 1 [Source:HGNC Symbol;Acc:HGNC:7962]											
ENSG00000102030	22.45762712	73.72881356	46	16.20716731	Stage II	H2+H3	8260	NAA10	"N-alpha-acetyltransferase 10, NatA catalytic subunit [Source:HGNC Symbol;Acc:HGNC:18704]"											
ENSG00000174938	23.81997805	74.09440176	5	51.807225	Stage II	H2+H3	26470	SEZ6L2	seizure related 6 homolog like 2 [Source:HGNC Symbol;Acc:HGNC:30844]											
ENSG00000136718	27.05479452	74.65753425	4	76.3039391	Stage II	H2+H3	92856	IMP4	IMP U3 small nucleolar ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:30856]											
ENSG00000116213	29.28416486	75.48806941	80	14.26274615	Stage II	H2+H3	49856	WRAP73	"WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]"											
ENSG00000095066	23.61111111	76.52777778	114	28.79405256	Stage II	H2+H3	29911	HOOK2	hook microtubule tethering protein 2 [Source:HGNC Symbol;Acc:HGNC:19885]											
ENSG00000100979	34.00809717	77.32793522	1	333.6649058	Stage II	H2+H3	5360	PLTP	phospholipid transfer protein [Source:HGNC Symbol;Acc:HGNC:9093]											
ENSG00000133895	25.64935065	77.5974026	29	40.86008846	Stage II	H2+H3	4221	MEN1	menin 1 [Source:HGNC Symbol;Acc:HGNC:7010]											
ENSG00000099814	17.74919614	79.16398714	16	55.901075	Stage II	H2+H3	283638	CEP170B	centrosomal protein 170B [Source:HGNC Symbol;Acc:HGNC:20362]											
ENSG00000213339	28.96039604	79.7029703	7	36.85275192	Stage II	H2+H3	81890	QTRT1	queuine tRNA-ribosyltransferase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:23797]											
ENSG00000161996	26.95970696	80.51282051	11	11.54562115	Stage II	H2+H3	197335	WDR90	WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960]											
ENSG00000106009	28.58880779	80.77858881	7	36.68315962	Stage II	H2+H3	221927	BRAT1	BRCA1 associated ATM activator 1 [Source:HGNC Symbol;Acc:HGNC:21701]											
ENSG00000170027	23.79032258	81.0483871	287	369.5871026	Stage II	H2+H3	7532	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]											
ENSG00000128228	22.97297297	81.08108108	7	105.6425186	Stage II	H2+H3	23753	SDF2L1	stromal cell derived factor 2 like 1 [Source:HGNC Symbol;Acc:HGNC:10676]											
ENSG00000064545	35.41666667	81.45833333	10	48.28913269	Stage II	H2+H3	54929	TMEM161A	transmembrane protein 161A [Source:HGNC Symbol;Acc:HGNC:26020]											
ENSG00000169635	19.31818182	82.14285714	15	8.17500641	Stage II	H2+H3	23119	HIC2	HIC ZBTB transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:18595]											
ENSG00000172992	35.77586207	83.18965517	7	61.47089423	Stage II	H2+H3	79877	DCAKD	dephospho-CoA kinase domain containing [Source:HGNC Symbol;Acc:HGNC:26238]											
ENSG00000126391	26.4516129	83.22580645	7	74.67633205	Stage II	H2+H3	83786	FRMD8	FERM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:25462]											
ENSG00000131584	25.74850299	84.67065868	3	19.2040109	Stage II	H2+H3	116983	ACAP3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]"											
ENSG00000175414	31.42857143	85.30612245	1	4.207	Stage II	H2+H3	285598	ARL10	ADP ribosylation factor like GTPase 10 [Source:HGNC Symbol;Acc:HGNC:22042]											
ENSG00000185101	34.73818646	86.71775223	1	19.47205	Stage II	H2+H3	338440	ANO9	anoctamin 9 [Source:HGNC Symbol;Acc:HGNC:20679]											
ENSG00000141985	25.20325203	86.72086721	46	97.66644872	Stage II	H2+H3	6455	SH3GL1	"SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]"											
ENSG00000204389	26.63551402	92.05607477	14	167.6113673	Stage II	H2+H3	3303	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]											
